,代理IP,代理协议,匿名度,代理位置,响应速度,存活时间,打分
0,103.103.3.6:8080,HTTPS代理,高匿代理,中国 河南 洛阳 移动,4.88,40天 8小时 41分钟 41秒,71652
1,113.237.3.178:9999,"HTTP,HTTPS代理",高匿代理,中国 四川 成都 铁通,1.24,5小时 34分钟 44秒,12
2,118.117.188.171:3256,"HTTP,HTTPS代理",高匿代理,中国 台湾 台北 中華電信,3.08,1天 9小时 7分钟 50秒,216
3,45.228.188.241:999,HTTPS代理,高匿代理,中国 浙江 金华 电信,6.6,1天 22小时 50分钟 52秒,675
4,104.254.238.122:20171,"HTTP,HTTPS代理",高匿代理,中国 山东 东营 电信,4.49,6天 3小时 14分钟 2秒,489
5,211.24.95.49:47615,HTTPS代理,高匿代理,中国 内蒙古 巴彦淖尔 移动,4.53,73天 22小时 17分钟 29秒,10924
6,103.205.15.97:8080,HTTPS代理,高匿代理,中国 江苏 苏州 联通,3.94,23天 6小时 25分钟 55秒,1619
7,185.179.30.130:8080,"HTTP,HTTPS代理",高匿代理,中国 河北 秦皇岛 移动,3.46,1天 14小时 44分钟 22秒,1314
8,190.108.88.97:999,HTTPS代理,高匿代理,中国 云南 迪庆 联通,6.56,19小时 24分钟 52秒,1113
9,81.30.220.116:8080,HTTPS代理,高匿代理,中国 台湾 台北,3.87,10小时 53分钟 31秒,160
10,178.134.208.126:50824,"HTTP,HTTPS代理",高匿代理,中国 内蒙古 赤峰 联通,6.61,72天 12小时 55分钟 42秒,14383
11,175.42.122.142:9999,"HTTP,HTTPS代理",高匿代理,中国 香港 Microsoft,2.76,21小时 43分钟 3秒,12
12,182.84.144.91:3256,"HTTP,HTTPS代理",高匿代理,中国 湖南 郴州 联通,1.17,11小时 53分钟 21秒,37
13,188.166.125.206:38892,HTTPS代理,高匿代理,中国 北京 北京 美团/联通/电信,3.39,5小时 29分钟 30秒,174
14,167.172.180.46:33555,"HTTP,HTTPS代理",高匿代理,中国 北京 北京 广电网,2.41,5小时 29分钟 26秒,1250
15,58.255.7.90:9999,"HTTP,HTTPS代理",高匿代理,中国 广东 深圳 移动,2.28,14小时 20分钟 43秒,12
16,190.85.244.70:999,HTTPS代理,高匿代理,中国 新疆 克孜勒苏 电信,6.68,31天 17小时 12分钟 3秒,19642
17,118.99.100.164:8080,"HTTP,HTTPS代理",高匿代理,中国 吉林 吉林 电信,2.89,4小时 11分钟 27秒,120
18,182.84.145.181:3256,"HTTP,HTTPS代理",高匿代理,中国 北京 北京 光环新网/电信,1.12,1天 21小时 44分钟 58秒,185
