,地区,地区生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),农林牧渔业增加值(亿元),工业增加值(亿元),建筑业增加值(亿元),批发和零售业增加值(亿元),交通运输、仓储和邮政业增加值(亿元),住宿和餐饮业增加值(亿元),金融业增加值(亿元),房地产业增加值(亿元),其他行业增加值(亿元),人均地区生产总值(元/人),year
0,北京市,27041.2,129.8,4665.8,22245.7,132.2,3635.5,1074.5,2544.3,790.8,447,4784.7,2241.2,11391.1,124516,2016
1,天津市,11477.2,168.5,4368,6940.8,174.6,3773,710.8,1199.1,689.2,123,1558.6,1080.3,2168.6,73830,2016
2,河北省,28474.1,3082.5,12332.3,13059.3,3235.1,10755.9,1610.1,2290,2410.3,297.2,1720,1776.6,4379,38233,2016
3,山西省,11946.4,724.3,5113.6,6108.5,766.8,4441.2,676.6,1108.1,745.5,165.8,909.4,700.8,2432.2,32526,2016
4,内蒙古自治区,13789.3,1650.6,5579.8,6558.9,1677,4357.1,1222.7,1220.5,976.5,302.6,730.1,705.1,2597.7,54816,2016
5,辽宁省,20392.5,1841.2,7865.7,10685.6,1945.8,6617.5,1338,1920.7,1200,284.9,1650.4,1145.8,4289.3,46557,2016
6,吉林省,10427,1130.1,3901.4,5395.5,1171.1,3148.2,773.5,704.9,537.6,178.1,732.2,673.4,2508,38011,2016
7,黑龙江省,11895,2751.2,3689.7,5454,2817.7,3367.3,429.5,876,463.4,186.6,864.6,571.9,2317.9,31258,2016
8,上海市,29887,114.3,8570.2,21202.4,118.3,8045.5,595.6,4218.5,1254.6,400.1,4698,3102.5,7453.9,123628,2016
9,江苏省,77350.9,4039.8,35041.5,38269.6,4286.1,30291.4,4790,8447.9,2535.6,1203.2,5545.2,5792,14459.5,96840,2016
10,浙江省,47254,1890.4,21571.3,23792.4,1925.5,18661.5,2959.4,5828.6,1605.9,889.4,3229.7,2785.2,9368.9,84921,2016
11,安徽省,26307.7,2489.8,11517.5,12300.5,2603.8,8909.4,2626.7,2656.3,1462.3,552.8,1446.1,1522.2,4528.1,42641,2016
12,福建省,29609.4,2145.1,14683.7,12780.6,2221,11712,3022.5,3043.4,1184.7,493.1,2082.4,1508.1,4342.4,76778,2016
13,江西省,18388.6,1794.1,8732.5,7862,1851.9,7349.3,1387.5,1397.7,821.4,373.3,1012.3,1008.3,3186.9,40159,2016
14,山东省,58762.5,4830.3,25565,28367.2,5072.3,21696,3909.4,7842.4,2664.9,868.2,3265.2,3065.4,10378.6,59375,2016
15,河南省,40249.3,4063.6,18986.9,17198.8,4217.4,15536.8,3503.8,2940.5,2212.8,843.9,1850.4,2259.8,6884,42341,2016
16,湖北省,33353,3406.5,14527,15419.5,3527.9,12480.5,2109.2,2569.5,1652.9,913.7,1975.1,2231.7,5892.6,56836,2016
17,湖南省,30853.5,2915.6,12942,14995.9,3063.1,10540.1,2411.7,3141.5,1309.6,726.7,1340.1,1815,6505.6,45356,2016
18,广东省,82163.2,3500.5,35499.2,43163.5,3593.6,32677.9,2909.5,8924.7,2877.5,1575.9,6570,6615.7,16418.4,75213,2016
19,广西壮族自治区,16116.6,2800.3,5621,7695.3,2877,4307.3,1315,1351,737.2,301.1,1110.7,1130.6,2986.6,33458,2016
20,海南省,4090.2,924.7,904,2261.5,951.6,482.5,422.5,442.8,188.9,202,296.9,360,743.1,44752,2016
21,重庆市,18023,1237,7765.4,9020.7,1258.4,5896.2,1869.2,1703.4,777.2,392,1594,1067.9,3464.8,59433,2016
22,四川省,33138.5,3900.6,13450.1,15787.8,3991.9,10790.9,2757.8,2760.3,1118.8,852.9,2312.7,1878.6,6674.5,40251,2016
23,贵州省,11792.4,1861.8,4468.7,5461.8,1959.9,3501.7,970,893.7,503.3,292.6,736.1,401.3,2533.7,33291,2016
24,云南省,16369,2225.5,5747.4,8396.1,2272.6,4087.5,1663.4,1732.5,740.2,435.4,1121.3,819.4,3496.8,34416,2016
25,西藏自治区,1173,110.5,390.4,672.1,113.6,91.6,298.8,80.5,37.5,32.4,90.4,38.8,389.4,35844,2016
26,陕西省,19045.8,1696.1,8906.5,8443.2,1778.9,7226.9,1732.8,1473.2,879.4,346.2,1295.1,865.7,3447.6,50081,2016
27,甘肃省,6907.9,800.8,2483.5,3623.7,834.5,1995.5,498.3,516.6,343.7,133.3,646.3,364.7,1575,26520,2016
28,青海省,2258.2,221.2,867.7,1169.3,224.7,597.4,270.3,141.2,107.5,43.6,232.6,93.4,547.6,38213,2016
29,宁夏回族自治区,2781.4,241,1179.7,1360.7,255.7,925.4,255.4,154,187.4,43,239.8,109.3,611.5,41427,2016
30,北京市,29883,121.9,5049.4,24711.7,124.3,3885.9,1210.9,2703.7,901,470.4,5299.6,2420.5,12866.8,137596,2017
31,天津市,12450.6,169,4564.1,7717.5,174,3942.5,704,1313.6,729.8,147.2,1731.8,1124.5,2583.2,79837,2017
32,河北省,30640.8,3130,12778,14732.8,3298.3,11015.7,1796.8,2553.3,2541.9,330.5,2039.9,2023.1,5041.4,40883,2017
33,山西省,14484.3,719.2,6635.3,7129.8,764.1,5887.3,752.9,1148.5,853.2,176.8,965.1,956.5,2980,39232,2017
34,内蒙古自治区,14898.1,1649.8,5874.3,7374,1677.7,4672,1202.3,1303,1074.2,318.7,809.4,735.3,3105.5,59017,2017
35,辽宁省,21693,1902.3,8328.9,11461.8,2000.4,7039,1388.2,1988.1,1255.7,287.8,1755.9,1254.6,4723.4,49603,2017
36,吉林省,10922,1095.4,3995.5,5831.2,1137.7,3235.2,781.1,717.8,563.7,181.1,774.6,711.8,2819.1,40077,2017
37,黑龙江省,12313,2965.3,3519.5,5828.2,3036.9,3226.1,414.3,900.6,488.7,200.2,898.6,610.5,2537.1,32454,2017
38,上海市,32925,110.8,9525.9,23288.3,115.1,8977.4,634.4,4562.9,1381.7,430.3,5334.5,2873.2,8615.6,136109,2017
39,江苏省,85869.8,4045.2,39124.1,42700.5,4314.5,33782.6,5386,9197.5,2743.4,1302.9,6215.7,6907.8,16019.5,107150,2017
40,浙江省,52403.1,1933.9,23246.7,27222.5,1972.8,20038.7,3262.3,6323.6,1742.6,941.3,3770.6,3511.7,10839.5,93186,2017
41,安徽省,29676.2,2582.3,12681.2,14412.7,2707.3,9739.9,2961.7,2924,1591,614.7,1683.2,1921.7,5532.8,47671,2017
42,福建省,33842.4,2215.1,16290,15337.3,2294.4,12864.9,3481.2,3426.5,1309.3,557.7,2343.4,2155.7,5409.4,86943,2017
43,江西省,20210.8,1835.3,9444.6,8930.9,1898.5,7969.6,1480,1695,895.8,386.1,1100.1,1289.4,3496.3,43868,2017
44,山东省,63012.1,4832.7,26925.6,31253.8,5114.7,22515.8,4441,8057.1,3221.2,983.7,3570.6,3469.4,11638.7,63162,2017
45,河南省,44824.9,4139.3,20940.3,19745.3,4310.6,16741.4,4235.8,3227.4,2413.9,979.3,2130.5,2705,8081.1,46959,2017
46,湖北省,37235,3529,15713.9,17992.2,3690.3,13431.6,2342.5,2819.3,1876.6,1022.2,2255.2,2794.3,7003,63180,2017
47,湖南省,33828.1,2998.4,13459.8,17369.9,3165.3,10709.8,2760.2,3423.3,1440.6,774.3,1701.8,2215,7637.9,49448,2017
48,广东省,91648.7,3611.4,38536.6,49500.7,3712.7,35344,3289.3,9642.1,3166.7,1654.3,7311.2,8178.6,19349.9,82686,2017
49,广西壮族自治区,17790.7,2878.3,6138.3,8774.1,2964.7,4680.1,1466,1485.8,804.6,322.7,1242.1,1376.5,3448.3,36595,2017
50,海南省,4497.5,962.8,996.4,2538.4,993.3,528.3,470,466.7,213.9,221.4,328.9,444.9,830.1,48810,2017
51,重庆市,20066.3,1276.1,8455,10335.2,1300.3,6202.4,2252.6,1955.1,828,426,1737.6,1276.6,4087.7,65538,2017
52,四川省,37905.1,4262.5,14569.2,19073.5,4365.3,11437.8,3235.9,3432.3,1205.9,934,2720.8,2602.6,7970.6,45768,2017
53,贵州省,13605.4,2032.3,4970.9,6602.3,2140,3821.4,1152.6,1040.1,576.3,337.2,874.5,487.8,3175.6,38137,2017
54,云南省,18486,2338.4,6317.8,9829.8,2388.6,4347.8,1973.7,1941.1,888.1,486.4,1245.7,1006.1,4208.5,38629,2017
55,西藏自治区,1349,118.2,469.6,761.2,121.5,110.1,359.6,87.8,42,34.9,108.2,39.7,445.4,40408,2017
56,陕西省,21473.5,1741.1,10114.1,9618.3,1830.6,8232.9,1959,1606.7,959.1,367.8,1435.9,1010.5,4071,56154,2017
57,甘肃省,7336.7,859.8,2515.8,3961.2,896,2020.5,504.6,540.6,378.3,138.7,718,394.4,1745.7,28026,2017
58,青海省,2465.1,238.4,975.7,1251,242,683.2,292.5,145,118.3,45.4,258.9,105,574.8,41366,2017
59,宁夏回族自治区,3200.3,250.6,1406,1543.7,266.3,1129.2,278.1,173.5,182.8,45.6,266,131.2,727.6,47177,2017
60,北京市,33106,120.6,5477.4,27508.1,122.6,4139.9,1387.8,2824.1,1015.9,515.3,5951.3,2481.5,14667.6,153095,2018
61,天津市,13362.9,175.3,4835.3,8352.3,181,4276.9,674.1,1345.2,748.8,157.9,1838.4,1143.4,2997.2,85757,2018
62,河北省,32494.6,3338.6,12904.1,16252,3522.3,10930.3,2007.9,2722.3,2606.5,354.8,2220.9,2103.4,6026.4,43108,2018
63,山西省,15958.1,740.8,7074.5,8142.9,788.4,6260.2,819.9,1328.3,983.8,193.5,1081.1,1035.7,3467.2,43010,2018
64,内蒙古自治区,16140.8,1750.7,6335.4,8054.7,1779.8,5104.2,1231.2,1370.2,1130.1,330.2,847,828.9,3519.2,63772,2018
65,辽宁省,23510.5,2020.6,9049,12441,2109.6,7728.7,1433.9,2046.9,1304.4,296.3,1856.6,1368.6,5365.5,53872,2018
66,吉林省,11253.8,1160.7,4051.5,6041.6,1205,3287.2,785.6,732.9,579.9,188.1,780.8,731.1,2963.5,41516,2018
67,黑龙江省,12846.5,3001.2,3536,6309.3,3080.2,3266.7,409.4,946.3,508.5,213.7,946.6,656.3,2818.9,33977,2018
68,上海市,36011.8,104.8,10360.8,25546.3,112.4,9763.5,685.7,4884.8,1616.5,451.6,5901.9,3185.3,9410.1,148744,2018
69,江苏省,93207.6,4141.7,42129.4,46936.5,4431.4,36113.2,6063.7,10139.3,2964.4,1413.4,6846.9,7467.2,17768.1,115930,2018
70,浙江省,58002.8,1975.9,25308.1,30718.8,2019.3,21621.2,3737.6,6853,1852.8,991.9,4506.3,4117.1,12303.7,101813,2018
71,安徽省,34010.9,2638,14094.4,17278.5,2776,10639.8,3476.9,3184,1865.4,688.2,2142.5,2711.4,6526.7,54078,2018
72,福建省,38687.8,2379,18847.8,17461,2464.3,14781,4131.4,3891.9,1376.2,611.8,2581.1,2436,6414.1,98542,2018
73,江西省,22716.5,1877.3,10081.2,10758,1947.9,8264.2,1823.4,1942.3,1022.5,408.4,1422.6,1740.3,4144.9,49013,2018
74,山东省,66648.9,4950.5,27523.7,34174.7,5273.9,22613,5024.9,8747.1,3384.9,1040.7,3871.2,3963.1,12730,66472,2018
75,河南省,49935.9,4311.1,22038.6,23586.2,4501.2,17323.4,4790.8,3698,2834.1,1037.9,2529.2,3079.9,10141.5,52114,2018
76,湖北省,42022,3548.2,17573.9,20899.9,3734.3,14849.6,2781.4,3098,2031,1125.9,2554,3320.1,8527.7,71109,2018
77,湖南省,36329.7,3084.2,13904.1,19341.4,3266.5,10785.6,3128.3,3705.4,1516.2,835.6,1809.9,2623.4,8658.7,52809,2018
